team,market_0,market_25,market_45,market_70,market_100
Argentina,0.19661999999764057,0.16745915301472644,0.144308594976226,0.11657209816648043,0.08508846441821168
Spain,0.16383999999803395,0.1695947498067183,0.17083022943913895,0.16771750957231618,0.15470629894220309
France,0.05749999999931002,0.07647545046467892,0.09413773663674249,0.11875151746149314,0.147979938118629
Brazil,0.05531999999933616,0.06390758778596163,0.0702824637948508,0.07700846166014484,0.0810366327792492
Portugal,0.05239999999937119,0.062915215045176,0.07135978835490148,0.08126418201501506,0.08956680465074913
England,0.052159999999374075,0.06545138059457595,0.07690279851531351,0.09152602257655716,0.10636058052276459
Colombia,0.04467999999946383,0.03873263387167885,0.03385372583647208,0.027835021138283025,0.020753284004441874
Japan,0.044099999999470806,0.03405109479180558,0.02712960190538866,0.019868136166876157,0.012892191578516923
Norway,0.04367999999947583,0.03933910440457173,0.03545000402494285,0.03028163666079359,0.02363568456061435
Ecuador,0.0422999999994924,0.03135610732443974,0.024180535328669647,0.01700078217049079,0.010504748693606382
Netherlands,0.04123999999950512,0.0431143944000986,0.043774737084469856,0.04340586311597148,0.040518316389624595
Germany,0.039479999999526234,0.045388743958138404,0.04972368774009053,0.054219507414037055,0.056725642945474435
Morocco,0.03587999999956945,0.03111249954077134,0.027199393962429253,0.02236984180506014,0.016684012631021903
Belgium,0.026019999999687758,0.02582097436036208,0.02514567181013549,0.023667358745517435,0.020753284004441874
Switzerland,0.02347999999971824,0.021223925230090625,0.019181658190204,0.016445041686650175,0.012892191578516923
Turkey,0.01563999999981232,0.014441268240973214,0.013275734337364719,0.011626482863104004,0.009350380705297987
Croatia,0.01237999999985144,0.012119041059827595,0.011674134588088277,0.010839107526266406,0.009350380705297987
Mexico,0.011299999999864403,0.01165133526939052,0.011699622614052038,0.011441693920068928,0.010504748693606382
Uruguay,0.009279999999888641,0.010579450715295593,0.011512074296083842,0.012447723815137673,0.012892191578516923
Austria,0.007839999999905917,0.0075802046637886015,0.007229881448447359,0.006630056990545936,0.005634997643590176
Paraguay,0.005519999999933763,0.004903439326432084,0.0043702727028286205,0.0036820652656238263,0.002826859282997066
Senegal,0.005099999999938802,0.006231683751608845,0.0071679000055079704,0.008307079830504467,0.009350380705297987
Canada,0.004479999999946238,0.004638180199974676,0.004672632762060478,0.004588307014003625,0.0042332569362294355
Algeria,0.0031599999999620803,0.003105465110018434,0.0030007973033802414,0.0027970320904878955,0.0024241727754476263
Australia,0.00183999999997792,0.0018096011797215697,0.0017496583676331274,0.0016320727827051934,0.0014157814379070158
Iran,0.00155999999998128,0.0015385161722263059,0.0014908789704191161,0.0013945724222405645,0.0012138154695893247
Scotland,0.0011199999999865603,0.0016398443358836366,0.0021798602621690916,0.0030271537010162705,0.0042332569362294355
Ivory Coast,0.0008399999999899204,0.0012501990242998918,0.0016838267340251371,0.002376941463691805,0.003389978662080147
South Korea,0.0005399999999935201,0.0007983573871854916,0.001069543784109059,0.0014997655479721743,0.0021219068433469238
Egypt,0.00023999999999711988,0.00046687963301003985,0.0007790372564911982,0.001437385076147254,0.002826859282997066
United States,0.0001799999999978401,0.0005608026298054598,0.0013639499049945608,0.004030483734511872,0.01394892859314945
Czech Republic,0.00013999999999832002,0.00032611120249240476,0.0006285129245247324,0.0013885870525325633,0.003389978662080147
Sweden,5.999999999927996e-05,0.00020730282319496613,0.0005476798198108535,0.0017947415683947003,0.0070321044973728685
Tunisia,3.999999999952e-05,0.00010721947675502054,0.00023120806891676495,0.0005878112519276211,0.0016983725432776781
Uzbekistan,1.999999999976e-05,4.845799548560482e-05,9.638116110468189e-05,0.0002214872953916643,0.0005668785104477792
DR Congo,1.999999999976e-05,5.3623122410103956e-05,0.00011565599003397756,0.0002941111235884377,0.0008500346095725442
Haiti,9.99999999988001e-13,1.42613191360877e-10,7.390023280905277e-09,9.99601091350794e-07,0.000340217770564621
South Africa,9.99999999988001e-13,1.7929971617160478e-10,1.1158392479068091e-08,1.8975902995656712e-06,0.0008500346095725442
Bosnia and Herzegovina,9.99999999988001e-13,2.1317127854246786e-10,1.5235965872480127e-08,3.08049066963559e-06,0.0016983725432776781
Qatar,9.99999999988001e-13,1.6202907339794763e-10,9.298773222886084e-09,1.429024982409003e-06,0.0005668785104477792
Saudi Arabia,9.99999999988001e-13,1.7929971617160478e-10,1.1158392479068091e-08,1.8975902995656712e-06,0.0008500346095725442
Cape Verde,9.99999999988001e-13,1.7929971617160478e-10,1.1158392479068091e-08,1.8975902995656712e-06,0.0008500346095725442
New Zealand,9.99999999988001e-13,1.6202907339794763e-10,9.298773222886084e-09,1.429024982409003e-06,0.0005668785104477792
Curaçao,9.99999999988001e-13,1.42613191360877e-10,7.390023280905277e-09,9.99601091350794e-07,0.000340217770564621
Jordan,9.99999999988001e-13,1.42613191360877e-10,7.390023280905277e-09,9.99601091350794e-07,0.000340217770564621
Iraq,9.99999999988001e-13,1.6202907339794763e-10,9.298773222886084e-09,1.429024982409003e-06,0.0005668785104477792
Ghana,9.99999999988001e-13,2.421288267054087e-10,1.9162053343439127e-08,4.40057836138676e-06,0.002826859282997066
Panama,9.99999999988001e-13,1.7929971617160478e-10,1.1158392479068091e-08,1.8975902995656712e-06,0.0008500346095725442
